dataset	trained on	epoch	model	input dim	hidden dim	embedding dim	dropout	learning rate	window sizes	num filters	max feats	output dim	accuracy	precision	recall	f1-score	train loss	dev accuracy	dev precision	dev recall	dev f1-score	dev loss
Wulczyn et al.	Wulczyn et al.	76	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8051247753208209	0.1251487290427258	0.09874541264828882	0.11039022993989123	30.820231153445466	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.943382719123505
Wulczyn et al.	Wulczyn et al.	77	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8017180119550223	0.12482422931314224	0.09587106421865914	0.10844845409266046	29.015631973028373	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	42.713369179531874
Wulczyn et al.	Wulczyn et al.	78	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8035363457760314	0.1251487290427258	0.09748083242059145	0.10959552903286919	28.971571862670196	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.778351437998005
Wulczyn et al.	Wulczyn et al.	79	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8044350624921623	0.12320173066522444	0.09696092619392185	0.10851753048780488	29.390123105125625	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.474445966135455
Wulczyn et al.	Wulczyn et al.	80	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8040693056890859	0.12666306111411574	0.09885193314198885	0.11104262481627233	29.421524614772135	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.85442993650398
Wulczyn et al.	Wulczyn et al.	81	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8042783095765581	0.12633856138453217	0.09881556683587141	0.11089484927605031	29.84183480202123	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.81586155378486
Wulczyn et al.	Wulczyn et al.	82	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8023345734230657	0.12038939967550027	0.09356086079354405	0.10529303249609764	29.32470425812291	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.41822164467131
Wulczyn et al.	Wulczyn et al.	83	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8026062784767797	0.12547322877230935	0.09695753928452022	0.10938752416426988	28.930335138297842	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.08253314865538
Wulczyn et al.	Wulczyn et al.	84	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8035154453872843	0.12298539751216873	0.09610345701969403	0.10789523628772062	29.60857087151739	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.79230733316733
Wulczyn et al.	Wulczyn et al.	85	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8023241232286921	0.12893455922120065	0.09888013272501037	0.11192488262910798	29.47956802441574	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	44.35967458291832
Wulczyn et al.	Wulczyn et al.	86	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8014254065125611	0.12871822606814495	0.09804729340034606	0.1113085773080161	28.833767443874162	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	43.3906172186255
Wulczyn et al.	Wulczyn et al.	87	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8039125527734816	0.12915089237425637	0.10027714789619552	0.11289712556732225	28.12167773104051	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	40.73051543824701
Wulczyn et al.	Wulczyn et al.	88	mlp	154006	128	300	0.2	0.2	[2, 3, 4]	128	100	2	0.8056681854282489	0.11844240129799892	0.09487912659214973	0.10535937650341576	28.002465359797792	0.9045069721115537	0.00032583903551645487	1.0	0.0006514657980456025	45.418346146663346
